PERMNO,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-30,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-28,2013-04-30,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31
63467,-0.150039,-0.033012,-0.152784,0.245225,-0.055254,0.084851,0.010385,0.037313,0.006348,0.134146,-0.047645,0.065234,-0.074441,0.042987,-0.006479,-0.019946,0.054012,-0.051416,0.077376,0.097293,0.068,-0.029963,0.041304,-0.00093,0.023263,-0.05335,0.030828,-0.002181,-0.009709,-0.007274,0.003186,-0.040965,0.021927,-0.03186,0.017126,0.017224,0.002279,0.063028,-0.014408,-0.005599,0.010672,0.02205,-0.062595,0.045381,0.03018
63715,0.05589,-0.029061,-0.172368,0.085244,-0.097888,0.031662,0.108376,-0.054225,0.044526,-0.047883,0.127875,0.015769,-0.082709,0.106507,0.019778,0.028704,0.006536,0.037213,0.089574,0.286409,-0.096891,-0.063344,-0.039805,0.092428,-0.047435,0.071748,0.162336,0.025126,0.095655,-0.023327,-0.083296,0.113499,-0.048877,-0.02284,-0.019583,0.057415,-0.106607,-0.093648,-0.224521,0.114293,-0.059741,0.153232,-0.205013,-0.128429,0.000889
63765,0.039179,-0.148339,-0.121739,0.261326,-0.09491,-0.160578,-0.025047,0.061657,-0.07441,0.032026,-0.112413,0.139137,0.04134,-0.063759,0.11725,-0.0023,0.000288,-0.037453,0.026639,-0.000875,0.087248,0.004294,0.007215,-0.030777,0.061867,-0.01521,-0.047644,0.02309,0.038689,0.017331,0.034579,0.015974,0.112966,0.040643,-0.050334,0.00044,-0.107936,0.014786,-0.151287,-0.069814,-0.010151,-0.151958,-0.091609,0.011698,-0.075359
63773,-0.087516,-0.096262,-0.166309,0.090824,0.164366,-0.036402,0.104214,-0.039163,-0.079046,0.049244,-0.182791,0.078715,0.138093,0.011969,0.049449,-0.028895,-0.074789,-0.032486,0.142276,-0.094899,-0.073941,0.065021,0.036096,0.065699,0.075456,0.044512,0.071777,0.055161,-0.108082,-0.068411,0.048099,-0.156551,0.155946,0.03739,0.019125,-0.052905,-0.042512,0.0536,-0.08527,0.070117,-0.00312,-0.006886,-0.079208,0.094194,-0.015684
63781,-0.015099,-0.205299,-0.225834,0.328819,0.031798,-0.083366,-0.024785,0.051271,-0.101114,-0.011927,-0.058225,-0.072883,0.077799,0.000503,0.043238,-0.027711,0.113259,0.002894,0.068369,-0.055059,0.001539,-0.077278,0.074709,-0.057339,0.058713,0.021517,0.009555,0.105829,-0.063217,0.071844,-0.031964,0.228737,0.064821,0.008718,-0.036846,0.083596,-0.079616,0.038832,-0.108798,-0.174425,-0.210657,-0.107797,-0.126686,0.02552,-0.083825
63830,-0.01986,0.015305,-0.051022,0.049466,0.009807,0.000425,-0.006736,0.022911,0.03285,0.020069,-0.057606,-0.010168,-0.054289,0.035485,0.014217,0.059569,0.059629,0.033044,-0.031781,0.017394,0.0164,0.008807,0.118302,0.056657,-0.018981,-0.047267,0.075885,0.115341,0.019728,0.042097,-0.054029,0.012287,-0.019738,0.001306,-0.000435,-0.002174,-0.093502,0.066696,-0.029296,-0.068305,0.077934,0.012652,-0.169296,0.080959,-0.028988
64186,-0.032277,-0.06088,-0.102696,0.057225,-0.002481,-0.050418,0.067381,-0.016061,0.117434,-0.06132,-0.050184,0.00205,-0.084545,0.136296,0.030588,0.081196,0.024902,0.022766,0.091283,0.002057,0.067568,0.060927,0.026145,0.067599,0.073665,0.01105,-0.023256,0.001561,0.136009,0.000343,-0.013375,-0.077859,0.052519,-0.04407,0.121689,0.024393,-0.020985,0.050644,-0.041332,0.097916,0.033343,0.000194,0.038092,0.138538,0.06454
64194,-0.071886,-0.042756,-0.05323,0.080058,-0.093329,-0.045658,0.09627,0.104026,0.013911,-0.037332,-0.076732,0.088029,0.038551,0.054803,0.049372,-0.029441,0.015019,0.007491,0.101473,0.02409,0.036145,0.020505,-0.139917,0.034419,-0.025404,-0.010625,0.026709,-0.051469,0.15202,-0.01681,0.030018,0.074506,0.057329,-0.069089,0.060166,0.064033,0.086748,0.039077,-0.02566,0.00447,0.067434,-0.040323,-0.042869,0.153846,0.025069
64282,-0.015345,0.002113,0.020403,0.109063,-0.004214,0.000472,0.037423,0.117535,0.031593,0.035417,-0.107445,-0.035618,0.118034,0.04837,0.01358,-0.027812,0.094174,-0.040077,0.020399,-0.045814,-0.018893,0.128751,-0.007935,-0.009198,0.132386,0.033889,0.065202,0.024714,0.042805,-0.048315,-0.153436,0.101413,0.007811,-0.04527,0.058856,0.028054,-0.011763,0.107297,0.049021,0.076739,0.126456,0.069839,-0.022184,0.114971,0.026453
64311,0.010276,-0.100264,-0.098404,0.212553,0.02676,-0.035478,-0.009059,-0.039197,-0.044557,0.107854,-0.09516,0.095391,0.031768,-0.01472,-0.12186,-0.027974,-0.015811,0.02418,0.121766,0.060694,0.055168,0.004411,-0.004262,-0.051443,0.014178,-0.013669,0.071923,0.118811,0.019414,0.058616,-0.002585,-0.001512,0.05723,-0.021612,0.065799,0.02263,-0.007765,0.052528,0.042991,-0.008602,0.01419,-0.018183,-0.069702,0.076297,-0.057164
64390,-0.079514,-0.025407,-0.074035,0.070383,-0.007891,0.034464,0.060338,0.056213,0.082166,-0.081104,0.020188,-0.041417,-0.052328,-0.010638,0.061956,0.075217,-0.002242,-0.007059,0.07936,0.083148,0.037356,0.000791,0.007908,-0.002746,0.02321,-0.03614,0.086159,-0.046273,0.075472,-0.02363,-0.093036,0.053787,-0.011025,0.001239,0.032165,0.013184,-0.07571,0.067406,0.010392,0.044699,0.031427,-0.009178,-0.038533,0.053418,0.020638
64450,-0.022416,0.080257,-0.088729,0.104534,0.006168,0.047981,-0.030081,-0.021584,-0.037267,-0.029841,-0.02914,0.04788,0.052511,-0.023747,0.037715,-0.027559,-0.087269,-0.0138,0.060828,0.060195,0.015485,0.052397,-0.038559,-0.076025,0.077775,-0.037533,0.032265,0.044949,-0.007386,0.02123,-0.013841,-0.012939,0.115752,-0.001406,0.106173,0.046719,-0.106368,0.022514,-0.0157,0.157791,-0.009918,0.064767,0.043791,-0.020351,-0.00016
64557,-0.00373,0.031394,-0.039122,0.079965,-0.011324,0.054234,0.04357,-0.024333,0.030405,0.029004,0.00864,0.024241,0.046139,-0.056958,0.025654,0.02787,-0.058459,-0.00695,0.068483,0.044152,0.061625,0.052945,-0.073657,0.020215,0.044799,-0.061585,-0.007086,0.033452,-0.005773,0.019908,0.048048,0.019085,0.023265,0.038948,-0.002284,0.133,-0.054453,0.019376,-0.146579,0.116511,0.006882,0.015075,-0.0033,0.008646,0.001654
64929,-0.051848,-0.177602,-0.222555,0.351466,0.118425,-0.000514,0.145282,-0.069752,-0.042708,0.10621,-0.037097,0.105767,-0.03668,0.062796,-0.008077,0.140669,-0.081336,0.106409,0.066004,0.004198,0.028044,0.049898,0.049741,-0.042908,0.067892,0.005912,0.100814,0.042574,0.06758,-0.048988,-0.100039,0.118217,0.020057,-0.052645,-0.005374,0.037282,-0.076572,0.104659,-0.080897,0.149114,-0.007919,0.130296,-0.139287,0.028637,0.05494
64936,0.003729,0.016151,0.04165,0.016151,0.010128,0.028284,-0.057272,0.019135,0.014662,0.019137,0.007616,0.037265,0.005741,-0.023983,0.008765,-0.003022,-0.021646,0.0135,0.044595,0.045324,0.038929,0.060158,-0.083171,0.014721,0.043823,-0.016186,0.08042,0.020327,0.018196,0.005277,0.049776,0.030776,0.022911,0.021834,-0.041081,0.037123,-0.054251,0.047014,-0.016092,0.031987,0.025947,0.059959,-0.00013,-0.054006,-0.016923
64961,0.046506,0.007224,0.057922,-0.197732,-0.091493,0.051344,0.096513,0.057939,0.023188,-0.144752,-0.235027,-0.032331,-0.412577,0.093441,0.058574,-0.058284,0.043553,-0.037067,0.050691,0.015351,-0.00405,-0.021894,0.00056,0.056208,0.222341,-0.095321,0.058724,0.050161,0.023663,-0.090968,-0.125831,-0.051602,-0.023196,-0.125,0.054164,0.042068,-0.033645,0.009671,-0.109515,0.097313,-0.025149,0.070265,0.044901,0.066912,-0.070483
